ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
0,0,0,0,3.886,0.98659,3.659,0.02838,-4.418,0.84246,0,0.25672,0,0,0,1,0,0,2.478,15,0.146518,0,0,0,0.97684,1,0,0,0,0,0,0,80.7868,0,0,0,0.63709,0,0,1,1,2.502,0.229,0.214,0,9883.72,44.03,2.709269961,1
0,7.079,0,1,5.341,0.59178,5.395,0.52457,-7.85,0.63972,0,0.25672,38.145,3.177,0,0,3,15.813,0,18,0.0894773,0,4.399,0,0.96641,0,6,6,0,1,1,2,72.3852,0,0,0,0.29329,0,2,0,6,2.13,0.149,0.109,-4.558,16000.4,65.83,2.646893624,1
0,7.019,0,2,7.082,0.79222,6.492,0.72615,-10.108,0.08169,1,0.25672,38.105,0,5.496,2,1,5.262,0,18,0.0894773,0,3.996,0,0.6508,2,4,5,2,1,1,2,152.463,0,0,0,0.39983,0.196,0,1,6,0.907,0.237,0.228,-4.582,19392.8,103.52,4.306510806,1
0,7.685,0,1,4.187,0.98659,3.643,0.52457,-5.167,0.63972,1,0.93773,38.772,0,3.337,1,1,5.436,0,12,0.0894773,0,0,0,0.79709,1,3,6,1,0,0,2,113.561,0,0,0,0.6885,0.588,0,1,7,1.157,0.199,0.172,-4.488,16184.4,88.85,2.675778342,1
0,7.604,0,0,3.73,0.98659,3.742,0.52457,-4.426,0.63972,0,0.93773,38.366,0,0,1,1,0,0,12,0.190295,0,0,1,0.89113,1,2,6,0,0,0,2,99.4112,0,1,0,0.53315,0,0,1,5,0.288,0.196,0.166,-4.473,14345.2,77.79,4.510940253,1
3,3.877,37.302,3,3.335,0.98659,3.235,0.72615,-4.953,0.84246,1,0.93773,38.072,1.822,2.068,1,3,0,0,12,0.0857571,1,0,0,0.77692,1,4,5,1,0,0,1,129.354,-3.996,0,0,0.96969,-0.739,1,1,7,0.428,0.213,0.203,-4.457,15929.9,90.99,1.880813592,1
0,7.29,0,0,3.042,0.59178,3.042,0.93048,-4.191,0.84246,0,0.93773,37.179,0,0,0,0,0,0,12,0.0372253,0,0,0,0.73939,0,2,2,0,0,0,2,45.1026,0,0,0,0.87038,0,0,0,2,-0.287,0.119,0.118,-4.439,7996.76,25.78,2.209515015,1
3,0,32.908,2,2.216,0.79222,2.216,0.72615,-4.601,0.08169,1,0.93773,0,1.351,2.603,2,3,0,0,12,0.0536867,0,0,0,0.42032,2,1,5,1,0,0,0,212.647,0,1,5.881,0.96969,-0.294,1,1,6,2.426,0.415,0.437,0,12965.3,126.24,2.862131379,1
1,3.94,12.619,1,4.321,0.98659,4.325,0.9848,-5.496,0.84246,1,0.93773,38.065,1.863,2.85,1,1,0,0,12,0.0784028,0,0,0,0.99442,1,2,3,1,0,0,1,63.0538,0,0,0,0.99269,-0.252,1,0,5,1.615,0.119,0.104,-4.407,15002.1,48.47,4.435971706,1
3,0,38.267,3,3.172,0.59178,2.945,0.9848,-4.766,0.84246,1,0.93773,0,0,0,0,3,0,0,11,0.0676025,1,0,0,0.74465,0,3,3,0,0,0,0,142.856,-3.76,0,0,0.99269,-0.061,0,2,5,0.89,0.247,0.241,0,17912.2,94.31,3.178545315,1
0,0,0,1,1.324,0.59178,2.62,0.93048,-4.11,0.63972,1,0.82734,37.454,3.398,0,0,0,0,0,6,0.0404228,0,0,0,0.76433,0,0,2,0,0,1,0,52.2129,0,0,0,0.99269,0.195,2,0,2,-0.495,0.102,0.127,-4.395,7459.98,27.03,5.08275845,2
1,0,10.501,2,3.449,0.98659,3.87,0.93048,-6.288,0.63972,1,0.82734,35.538,0,2.488,1,1,0,0,6,0.0404228,0,0,0,0.80321,1,1,2,1,0,1,0,58.5778,0,0,0,0.96969,-1.933,0,0,2,1.465,0.114,0.135,-4.86,8892.48,29.1,5.098273293,2
0,0,0,0,1.417,0.98659,1.527,0.9848,-1.461,0.84246,0,0.82734,13.471,0,0,1,1,0,0,6,0.0404228,0,0,1,0.75805,1,0,3,0,0,0,0,42.4031,0,0,0,0.96969,0,0,0,3,0.646,0.101,0.094,0,8751.12,26.71,1.973127854,1
0,0,0,0,1.246,0.14694,2.18,0.52457,-3.187,0.84246,0,0.82734,36.018,1.583,2.791,4,5,8.954,0,6,0.176095,0,0,3,0.7751,4,2,6,1,0,0,0,150.305,0,0,0,0.21184,0,1,0,6,-0.098,0.26,0.285,-5.673,10479.5,91.18,2.066325925,1
1,0,11.631,1,3.597,0.98659,3.77,0.52457,-3.109,0.84246,1,0.82734,36.316,1.751,0,1,5,14.11,0,6,0.190295,0,0,1,0.93504,1,4,6,0,0,0,0,87.3345,0,0,0,0.29329,-0.335,1,0,7,-0.009,0.178,0.146,-4.741,12421.1,71.47,4.527410765,1
1,0,12.217,2,4.98,0.98659,4.233,0.9848,-6.115,0.63972,2,0.82734,0,5.595,3.149,1,2,5.441,0,6,0.0676025,0,0,0,0.89781,1,2,3,1,0,0,0,116.823,0,0,0,0.84757,0.295,3,1,5,1.799,0.183,0.194,-0.495,16382.5,76.9,4.778975627,2
1,0,11.5,2,2.9,0.37866,2.579,0.72615,-5.286,0.24139,2,0.82734,0,8.594,8.671,3,4,15.571,0,6,0.0640688,0,0,0,0.55252,3,4,5,3,0,0,0,168.809,0,0,0,0.21184,-0.038,5,1,7,2.027,0.279,0.286,-0.515,13716.4,112.94,2.161368002,1
3,0,37.661,3,2.287,0.59178,2.287,0.88651,-3.143,0.84246,1,0.82734,0,7.366,0,0,4,5.37,0,6,0.0640688,1,0,0,0.90942,0,4,4,0,0,0,0,106.072,-3.532,0,0,0.96969,-0.392,4,1,6,1.305,0.193,0.187,-0.559,13613.5,75.3,3.557025722,1
1,0,11.308,2,2.616,0.37866,2.227,0.9848,-4.289,0.24139,2,0.47245,0,9.709,8.739,3,2,5.097,0,0,0.0436704,0,0,0,0.74297,3,2,3,3,0,0,0,156.748,0,0,0,0.29329,0.194,5,1,5,0,0.279,0.311,-0.467,10170.6,94.48,4.163757524,1
